lon;lat;m_name;address;m_type;sq_km_id
37.4973;55.8898;Асфальтобетонный завод «Евроасфальт»;125599, Россия, г. Москва, 79-й километр МКАД, 2А, строение 2, помещение 10;"Асфальтовые заводы    (Строительные и отделочные материалы)";6855
37.2656;55.9747;Мебельная фабрика Артис-XXI век;124460, Россия, Московская обл., Солнечногорский район, д. Елино, ул. Летняя, стр. 1;"Мебельные фабрики    (Лесная промышленность)";7576
37.8206;55.6513;Асфальтобетонный Завод № 4 Капотня (АБЗ-4 Капотня);109429, Россия, г. Москва, ул. Верхние Поля, 54;"Асфальтовые заводы    (Строительные и отделочные материалы)";4664
37.443823274272;55.708680693517;Мебельная фабрика Виста;121357, г. Москва, ул. Верейская, д.29, стр. 151, пом. 2, ком. 1А.;"Лесная промышленность    (Мебельные фабрики)";5129
37.7041;55.7865;Вайбос;107023, Россия, г. Москва, ул. Электрозаводская, 21;"Электромеханические заводы    (Машиностроение и металлообработка)";5886
37.5354;55.8508;Мебельная фабрика Anderssen;125438, Россия, г. Москва, ул. Автомоторная, 6Б, стр. 8;"Мебельные фабрики    (Лесная промышленность)";6448
37.7156;55.7817;Всероссийский научно-исследовательский инструментальный институт (ВНИИИНСТРУМЕНТ);107023, Россия, г. Москва, ул. Большая Семёновская, 49;"Инструментальные заводы    (Машиностроение и металлообработка)";5887
37.5397;55.8466;Мебельная фабрика Britannica;125438, Россия, г. Москва, ул. Автомоторная, 1/3;"Мебельные фабрики    (Лесная промышленность)";6448
37.2791;55.4341;Домотека;108828, г. Москва, поселение Краснопахорское, с. Красная Пахра, ул. Калужское ш., 7;"Лесная промышленность    (Мебельные фабрики)";2657
37.566023097026;55.898000056111;Мебельная фабрика STOLLINE;127572, Россия, г. Москва, ул. Череповецкая, 4а;"Лесная промышленность    (Мебельные фабрики)";6860
37.7513;55.7613;Завод «Мобильная энергия»;111123, Россия, г. Москва, Шоссе Энтузиастов, 31/35;"Электромеханические заводы    (Машиностроение и металлообработка)";5643
37.5005;55.7758;Меховая фабрика Русский мех;Россия, 123308, г. Москва, проспект Маршала Жукова, 3;"Меховые фабрики    (Легкая промышленность)";5789
37.6876;55.8679;Завод пластмасс Монолит-Сити;129327, Россия, г. Москва, ул. Шушенская, 3, корпус 1, офис 4;"Заводы пластмасс    (Химическая и нефтехимическая промышленность)";6623
